row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit
1,ORD-2026-06-30-1,6/30/2026,6/28/2026,Standard Class,CUST-5701,Customer 1,Consumer,United States,Seattle,Washington,71382,Central,PROD-7103,Technology,Tables,Product 98,1297.74,8,0.3,296.8
2,ORD-2026-06-30-2,6/30/2026,6/29/2026,First Class,CUST-2039,Customer 2,Corporate,United States,Chicago,Illinois,70751,South,PROD-5570,Office Supplies,Chairs,Product 71,336.22,3,0.2,23.34
3,ORD-2026-06-30-3,6/30/2026,7/5/2026,Second Class,CUST-9854,Customer 3,Corporate,United States,Los Angeles,California,79993,West,PROD-5270,Office Supplies,Binders,Product 48,173.94,-4,0.1,-15.97
4,ORD-2026-06-30-4,6/30/2026,7/1/2026,Same Day,CUST-3126,Customer 4,Consumer,United States,Houston,Texas,54853,West,PROD-3630,Technology,Chairs,Product 76,409.25,-5,0.4,-1.46
5,ORD-2026-06-30-5,6/30/2026,7/1/2026,Second Class,CUST-9953,Customer 5,Consumer,United States,Seattle,Washington,15786,West,PROD-2540,Office Supplies,Phones,Product 73,1415.32,-5,0.2,-282.88
6,ORD-2026-06-30-6,6/30/2026,7/2/2026,Same Day,CUST-4376,Customer 6,Consumer,United States,Seattle,Washington,13173,South,PROD-3996,Furniture,Phones,Product 76,720.42,5,0.1,-128.54
7,ORD-2026-06-30-7,6/30/2026,7/5/2026,Second Class,CUST-6085,Customer 7,Home Office,United States,Houston,Texas,10861,East,PROD-2184,Furniture,Tables,Product 69,573.75,4,0.3,122.13
8,ORD-2026-06-30-8,6/30/2026,7/1/2026,Same Day,CUST-2926,Customer 8,Consumer,United States,Los Angeles,California,42008,East,PROD-1752,Furniture,Storage,Product 10,1243.88,10,0.1,368.93
9,ORD-2026-06-30-9,6/30/2026,7/2/2026,Standard Class,CUST-3986,Customer 9,Corporate,United States,New York,New York,25613,Central,PROD-8076,Technology,Storage,Product 62,1549.89,2,0.1,-8.28
10,ORD-2026-06-30-10,6/30/2026,7/6/2026,Standard Class,CUST-8439,Customer 10,Consumer,United States,New York,New York,59835,South,PROD-8729,Office Supplies,Chairs,Product 81,965.59,5,0.4,32.03
11,ORD-2026-06-30-11,6/30/2026,7/4/2026,Second Class,CUST-7142,Customer 11,Home Office,United States,Los Angeles,California,25661,Central,PROD-5782,Office Supplies,Tables,Product 34,1990.37,3,0.0,530.87
12,ORD-2026-06-30-12,6/30/2026,7/6/2026,Same Day,CUST-5330,Customer 12,Corporate,United States,Seattle,Washington,13041,Central,PROD-7959,Technology,Tables,Product 26,915.77,6,0.1,92.46
