row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit
1,ORD-2026-07-17-1,7/17/2026,7/18/2026,Second Class,CUST-5210,Customer 1,Consumer,United States,New York,New York,27194,West,PROD-7478,Office Supplies,Tables,Product 78,-264.37,6.0,0.1,263.55
2,ORD-2026-07-17-2,7/17/2026,7/18/2026,Standard Class,CUST-2801,Customer 2,Consumer,United States,Houston,Texas,78246,Central,PROD-8151,Furniture,Chairs,Product 42,1918.75,3.0,1.82,475.36
3,ORD-2026-07-17-3,7/17/2026,7/22/2026,First Class,CUST-7867,Customer 3,Consumer,United States,Seattle,Washington,33589,Central,PROD-1263,Office Supplies,Binders,Product 58,496.47,-5.0,0.0,104.35
4,ORD-2026-07-17-4,7/17/2026,7/20/2026,Same Day,CUST-5803,Customer 4,Home Office,United States,Chicago,Illinois,64236,Central,PROD-2714,Technology,Phones,Product 23,666.2,2.0,1.76,182.01
5,ORD-2026-07-17-5,7/17/2026,7/24/2026,Second Class,CUST-9507,Customer 5,Corporate,United States,New York,New York,75310,East,PROD-9255,Furniture,Storage,Product 97,1133.62,,0.2,15.17
6,ORD-2026-07-17-6,7/17/2026,7/20/2026,Standard Class,CUST-3930,Customer 6,Home Office,United States,New York,New York,33282,West,PROD-9837,Furniture,Phones,Product 6,1353.08,5.0,0.3,-237.98
7,ORD-2026-07-17-7,7/17/2026,7/19/2026,Second Class,CUST-2451,Customer 7,Consumer,United States,Chicago,Illinois,72972,East,PROD-8306,Furniture,Tables,Product 33,1109.77,10.0,0.0,281.74
8,ORD-2026-07-17-8,7/17/2026,7/23/2026,Second Class,CUST-9206,Customer 8,Consumer,United States,Chicago,Illinois,35379,Central,PROD-3869,Furniture,Storage,Product 92,700.53,1.0,0.4,-10.26
9,ORD-2026-07-17-9,7/17/2026,7/24/2026,First Class,CUST-1695,Customer 9,Home Office,United States,Houston,Texas,44559,Central,PROD-4867,Furniture,Tables,Product 100,252.22,6.0,0.2,-40.96
10,ORD-2026-07-17-10,7/17/2026,7/23/2026,Standard Class,CUST-4489,Customer 10,Corporate,United States,Seattle,Washington,87312,South,PROD-1860,Technology,Phones,Product 59,1408.59,3.0,0.0,216.41
